Dag,Tid,SimMin,TrueBG,CgmBG,IOB,COB,Ketoner,ISF_eff,Stress_akut,Stress_kron,Puls,Points,VægtÆndring,Motion,BasalIOB
1,03:09,190,2.64,2.52,1.44,0.0,0.00,3.00,2.000,0.000,60,1.4,-0.04,nej,1.01
1,03:14,195,2.77,2.61,1.35,0.0,0.00,3.00,2.000,0.000,60,1.4,-0.04,nej,1.01
1,03:19,200,2.92,2.88,1.26,0.0,0.00,3.00,2.000,0.000,60,1.4,-0.04,nej,1.01
1,03:24,205,3.06,2.90,1.17,0.0,0.00,3.00,1.993,0.000,60,1.4,-0.05,nej,1.01
1,03:29,210,3.22,3.30,1.09,0.0,0.00,3.00,1.979,0.000,60,1.4,-0.05,nej,1.01
1,03:34,215,3.38,3.14,1.01,0.0,0.00,3.00,1.965,0.000,60,1.4,-0.05,nej,1.01
1,03:39,220,3.54,3.29,0.94,0.0,0.00,3.00,1.938,0.000,60,1.4,-0.05,nej,1.01
1,03:44,225,3.69,3.49,0.88,0.0,0.00,3.00,1.868,0.000,60,1.4,-0.05,nej,1.01
1,03:49,230,3.83,3.73,0.82,0.0,0.00,3.00,1.802,0.000,60,1.4,-0.05,nej,1.01
1,03:54,235,3.97,3.67,0.76,0.0,0.00,3.00,1.740,0.000,60,1.4,-0.05,nej,1.01
1,03:59,240,4.10,4.18,0.71,0.0,0.00,3.00,1.651,0.000,60,1.5,-0.05,nej,1.01
1,04:04,245,4.21,4.41,0.66,0.0,0.00,3.00,1.559,0.000,60,1.6,-0.05,nej,1.01
1,04:09,250,4.32,4.44,0.61,0.0,0.00,3.00,1.471,0.000,60,1.6,-0.06,nej,1.01
1,04:14,255,4.43,4.82,0.56,0.0,0.00,3.00,1.388,0.000,60,1.7,-0.06,nej,1.01
1,04:19,260,4.53,4.34,0.52,0.0,0.00,3.00,1.310,0.000,60,1.8,-0.06,nej,1.01
1,04:24,265,4.63,4.86,0.49,0.0,0.00,3.00,1.237,0.000,60,1.9,-0.06,nej,1.01
1,04:29,270,4.72,5.04,0.45,0.0,0.00,3.00,1.167,0.000,60,2.0,-0.06,nej,1.01
1,04:34,275,4.82,4.92,0.42,0.0,0.00,3.00,1.102,0.000,60,2.1,-0.06,nej,1.01
1,04:39,280,4.91,5.43,0.39,0.0,0.00,3.00,1.040,0.000,60,2.1,-0.06,nej,1.01
1,04:44,285,5.00,5.57,0.36,0.0,0.00,3.00,0.981,0.000,60,2.2,-0.06,nej,1.01
1,04:49,290,5.09,4.98,0.33,0.0,0.00,3.00,0.926,0.000,60,2.4,-0.06,nej,1.01
1,04:54,295,5.19,5.15,0.31,0.0,0.00,3.00,0.874,0.000,60,2.6,-0.07,nej,1.01
1,04:59,300,5.28,5.64,0.77,0.0,0.00,3.00,0.825,0.000,60,2.7,-0.07,nej,1.01
1,05:04,305,5.37,5.45,9.14,0.0,0.00,3.00,0.779,0.000,60,2.9,-0.07,nej,1.01
1,05:09,310,5.45,5.87,9.05,0.0,0.00,3.00,0.735,0.000,60,3.1,-0.07,nej,1.01
1,05:14,315,5.50,5.32,8.91,0.0,0.00,3.00,0.694,0.000,60,3.2,-0.07,nej,1.01
1,05:19,320,5.49,5.82,8.72,0.0,0.00,3.00,0.655,0.000,60,3.4,-0.07,nej,1.01
1,05:24,325,5.40,5.73,8.50,0.0,0.00,3.00,0.618,0.000,60,3.6,-0.07,nej,1.01
1,05:29,330,5.22,6.19,8.25,0.0,0.00,3.00,0.583,0.000,60,3.7,-0.07,nej,1.01
1,05:34,335,4.96,5.96,7.98,0.0,0.00,3.00,0.550,0.000,60,3.9,-0.07,nej,1.01
1,05:39,340,4.62,6.05,7.70,0.0,0.00,3.00,0.520,0.000,60,4.0,-0.08,nej,1.01
1,05:44,345,4.23,5.38,7.40,0.0,0.00,3.00,0.490,0.000,60,4.0,-0.08,nej,1.01
1,05:49,350,3.79,5.32,7.10,0.0,0.00,3.00,0.481,0.000,60,4.1,-0.08,nej,1.01
1,05:54,355,3.35,5.28,6.79,0.0,0.00,3.00,0.513,0.000,60,4.1,-0.08,nej,1.01
1,05:59,360,2.94,4.76,6.49,0.0,0.00,3.00,0.596,0.000,60,4.1,-0.08,nej,1.01
1,06:04,365,2.58,4.25,6.18,0.0,0.00,3.00,0.757,0.000,60,4.1,-0.08,nej,1.01
1,06:09,370,2.29,3.78,5.88,0.0,0.00,3.00,0.982,0.000,60,4.1,-0.08,nej,1.01
1,06:14,375,2.09,3.65,5.58,0.0,0.00,3.00,1.219,0.000,60,4.1,-0.08,nej,1.01
1,06:20,380,1.96,3.02,5.29,0.0,0.00,3.00,1.442,0.000,60,4.1,-0.08,nej,1.01
1,06:25,385,1.89,2.72,5.01,0.0,0.00,3.00,1.653,0.000,60,4.1,-0.09,nej,1.01
1,06:30,390,1.87,2.64,4.74,0.0,0.00,3.00,1.852,0.000,60,4.1,-0.09,nej,1.01
1,06:35,395,1.88,2.33,4.47,0.0,0.00,3.00,2.000,0.000,60,4.1,-0.09,nej,1.01
1,06:40,400,1.89,2.42,4.22,0.0,0.00,3.00,2.000,0.000,60,4.1,-0.09,nej,1.01
1,06:45,405,1.88,2.61,3.97,0.0,0.00,3.00,2.000,0.000,60,4.1,-0.09,nej,1.01
1,06:50,410,1.88,2.45,3.73,0.0,0.00,3.00,2.000,0.000,60,4.1,-0.09,nej,1.01
1,06:55,415,1.88,2.49,3.51,0.0,0.00,3.00,2.000,0.000,60,4.1,-0.09,nej,1.01
1,07:00,420,1.89,2.33,3.29,0.0,0.00,3.00,2.000,0.120,60,4.1,-0.09,nej,1.01
1,07:05,425,1.96,2.42,3.09,0.0,0.00,3.00,2.000,0.119,60,4.1,-0.09,nej,1.01
1,07:10,430,2.02,2.41,2.89,0.0,0.00,3.00,2.000,0.119,60,4.1,-0.10,nej,1.01
1,07:15,435,2.08,2.40,2.70,0.0,0.00,3.00,2.000,0.118,60,4.1,-0.10,nej,1.01
1,07:20,440,2.15,2.41,2.53,0.0,0.00,3.00,2.000,0.118,60,4.1,-0.10,nej,1.01
1,07:25,445,2.23,2.71,2.36,0.0,0.00,3.00,2.000,0.117,60,4.1,-0.10,nej,1.01
1,07:30,450,2.32,2.71,2.20,0.0,0.00,3.00,2.000,0.117,60,4.1,-0.10,nej,1.01
1,07:35,455,2.41,2.68,2.05,0.0,0.00,3.00,2.000,0.116,60,4.1,-0.10,nej,1.01
1,07:40,460,2.52,2.20,1.91,0.0,0.00,3.00,2.000,0.115,60,4.1,-0.10,nej,1.01
1,07:45,465,2.63,2.71,1.77,0.0,0.00,3.00,2.000,0.115,60,4.1,-0.10,nej,1.01
1,07:50,470,2.76,3.06,1.64,0.0,0.00,3.00,2.000,0.114,60,4.1,-0.10,nej,1.01
1,07:55,475,2.89,3.05,1.52,0.0,0.00,3.00,2.000,0.114,60,4.1,-0.11,nej,1.01
1,08:00,480,3.03,3.15,1.41,0.0,0.00,3.00,1.997,0.113,60,4.1,-0.11,nej,1.01
1,08:05,485,3.18,3.34,1.30,0.0,0.00,3.00,1.982,0.113,60,4.1,-0.11,nej,1.01
1,08:10,490,3.33,3.54,1.20,0.0,0.00,3.00,1.968,0.112,60,4.1,-0.11,nej,1.01
1,08:15,495,3.49,3.77,1.10,0.0,0.00,3.00,1.955,0.112,60,4.1,-0.11,nej,1.01
1,08:20,500,3.65,3.88,1.01,0.0,0.00,3.00,1.887,0.111,60,4.1,-0.11,nej,1.01
1,08:25,505,3.80,3.99,0.93,0.0,0.00,3.00,1.820,0.111,60,4.1,-0.11,nej,1.01
1,08:30,510,3.94,4.10,0.85,0.0,0.00,3.00,1.756,0.110,60,4.1,-0.11,nej,1.01
1,08:35,515,4.08,4.22,0.77,0.0,0.00,3.00,1.674,0.110,60,4.1,-0.11,nej,1.01
1,08:40,520,4.21,4.49,0.70,0.0,0.00,3.00,1.580,0.109,60,4.2,-0.11,nej,1.01
1,08:45,525,4.33,4.71,0.64,0.0,0.00,3.00,1.492,0.108,60,4.3,-0.12,nej,1.01
1,08:50,530,4.45,4.79,0.57,0.0,0.00,3.00,1.408,0.108,60,4.4,-0.12,nej,1.01
1,08:55,535,4.56,4.96,0.51,0.0,0.00,3.00,1.329,0.107,60,4.5,-0.12,nej,1.01
1,09:00,540,4.67,5.02,0.46,0.0,0.00,3.00,1.254,0.107,60,4.6,-0.12,nej,1.01